ID,score,COLPREP,DIS_COH,LOGDTA,LOGDTU,NSQG,NSQM,NSQU,NWF_MEDIAN,SVF,WORDLN_2
1,2,0.756913433,-0.243887027,3.598556816,2.397895273,-0.137832904,-0.1496264,-0.070534562,-65.25801132,3.069627952,4.231343284
2,1,0.785307692,-0.432850315,3.663561646,1.098612289,-0.172602427,-0.13074409,0,-55.84563036,2.90920173,5.358974359
3,1,0.352786885,-1.112113539,3.012261576,1.098612289,-0.25909556,-0.181071492,-0.12803688,-64.12441913,1.967152953,4.721311475
4,2,0.5981933,-0.044348467,2.990719732,2.302585093,-0.172969545,-0.070888121,-0.122781826,-57.05696115,3.36943542,4.798994975
5,1,0.651834457,0.322877221,3.810359352,1.791759469,-0.150726388,-0.242982696,-0.085907356,-57.11896791,3.930456411,4.84501845
6,2,1.0405,0.163621773,2.772588722,1.386294361,-0.242031424,-0.125,0,-57.9768253,3.568099645,5.296875
7,1,0.703324331,0.044189757,3.774674814,2.48490665,-0.135444913,-0.097776426,-0.087453894,-53.23509356,4.350418639,5.212237094
8,1,0.475715627,-0.506231619,4.147659621,1.945910149,-0.156381699,-0.082292217,-0.047511434,-62.31973036,3.792616029,4.53724605
9,2,0.617171608,-0.109616695,3.277144733,1.791759469,-0.141774815,-0.079305159,-0.158610317,-57.19720794,3.786659985,5.477987421
10,2,0.804714286,-0.407181445,3.267665989,1.386294361,-0.182217754,-0.097590007,0,-61.59713167,2.924951419,4.4
11,1,0.641861799,-0.531126106,4.307437778,2.48490665,-0.148922922,-0.153522062,-0.074911096,-58.85395593,4.15558919,5.041526375
12,4,0.575347934,-0.392574107,4.336787849,2.564949357,-0.149228864,-0.145350475,-0.04485613,-58.94360376,4.232985377,4.995975855
13,2,0.729039216,-0.63701012,4.787491743,1.609437912,-0.122944232,-0.081649658,-0.040824829,-62.06370268,4.207275916,4.686666667
14,2,0.708551924,-1.295427564,4.140485718,2.48490665,-0.125853065,-0.109253556,-0.072835704,-64.34209213,4.050071622,4.592838196
15,3,0.640729178,1.009963772,4.131523565,2.397895273,-0.176233491,-0.120824419,-0.054034323,-56.23842014,4.366040525,6.211678832
16,1,0.65695668,0.4151929,3.250374492,1.609437912,-0.17501019,-0.215665546,0,-52.9978159,2.6778411,5.410852713
17,1,0.682337719,0.062294497,2.944438979,1.791759469,-0.202256342,-0.132453236,0,-68.40764495,2.774136299,4.035087719
18,1,0.506428571,-0.566183195,2.63905733,1.386294361,-0.250781357,-0.133630621,0,-65.77012577,2.040164336,4.607142857
19,0,0.788421245,-0.555201612,2.970414466,1.386294361,-0.236573372,-0.160128154,-0.226455407,-55.17031275,1.997503485,5.358974359
20,4,0.561524115,-0.273013639,4.11715924,2.564949357,-0.145797615,-0.141598465,-0.106198849,-59.78563659,3.685519278,4.895989975
21,3,0.592324136,-0.49526653,4.091562919,2.48490665,-0.123779307,-0.111959006,-0.052777981,-61.15713612,3.816835346,4.625348189
22,4,0.642648894,-0.794064575,4.099332104,2.302585093,-0.142118721,-0.057591228,-0.081446296,-63.41417029,3.713730217,4.708126036
23,3,0.507827837,-1.061547308,3.988984047,2.48490665,-0.145398255,-0.130289327,-0.07856742,-62.91264841,3.775459792,4.554012346
24,2,0.397636364,-1.073122847,2.803360381,0.693147181,-0.077936311,-0.174077656,0,-58.99433516,1.776338698,4.575757576
25,2,0.686227628,-0.079933584,4.39107647,2.397895273,-0.093176909,-0.10611909,-0.067115606,-56.87289609,4.124458737,4.871621622
26,1,0.507046323,-0.586918376,5.056245805,1.098612289,-0.134147748,-0.092155136,-0.065163521,-63.74706685,3.913826944,4.184713376
27,0,0.739657143,-0.253158955,3.33220451,1.386294361,-0.17571442,-0.133630621,0,-66.86616838,2.769256377,4.357142857
28,2,0.640339075,0.497284015,3.967384935,2.564949357,-0.170181415,-0.178950523,-0.100941709,-58.33624426,3.99487841,5.119359534
29,1,0.678514007,0.410673245,4.155404819,2.197224577,-0.134544574,-0.191273014,-0.072294404,-56.94591056,3.716723141,4.820557491
30,4,0.554214914,-1.294617142,4.50313746,2.302585093,-0.116115839,-0.094124161,-0.081513915,-61.0281929,3.773584666,4.755260244
31,2,0.599442177,0.144493062,3.737669618,1.945910149,-0.151299908,-0.15430335,-0.08247861,-56.23000321,3.651383958,4.976190476
32,3,0.488593367,-1.575113436,4.33073334,2.302585093,-0.113571048,-0.088852332,-0.081110711,-67.87105937,3.685988828,3.997368421
33,0,0.1225,-0.336664138,3.688879454,0,-0.300247948,-0.316227766,0,-60.71906517,1.436563321,4.925
34,3,0.572556815,-1.421594495,4.527980547,1.945910149,-0.133685284,-0.124225999,-0.068041382,-67.45868412,3.545728842,4.236111111
35,1,0.811794118,-0.385124706,3.344038968,1.098612289,-0.206403313,-0.153392998,0,-63.51255931,2.770468091,4.823529412
36,1,0.588780243,-0.29155161,5.007296393,1.386294361,-0.181840354,-0.12931515,-0.091439619,-64.10202764,3.391146846,4.391304348
37,3,0.601504521,-0.403710093,3.858622229,2.302585093,-0.166282985,-0.159111457,-0.06495698,-60.61500017,3.641211152,4.793248945
38,2,0.659654959,0.766767281,4.477336814,2.397895273,-0.140627898,-0.115886807,-0.090909091,-57.44996152,4.461300894,5.166322314
39,0,0,-0.381118707,2.602689685,0.693147181,-0.232715629,-0.272165527,-0.19245009,-61.45138873,2.45491095,4.296296296
40,3,0.646256826,-0.810692951,4.65396035,1.945910149,-0.151168306,-0.09035079,-0.110656667,-64.37600404,3.788327264,4.321088435
41,2,0.578410923,-1.001926043,4.16018432,2.48490665,-0.143178122,-0.095408232,-0.036060922,-64.07464136,4.262169857,4.431729519
42,1,0.583543647,0.165460027,4.166665224,1.386294361,-0.185186284,-0.164717282,-0.15249857,-53.97560639,3.507499344,6.600775194
43,3,0.606201575,0.092720361,3.751854253,2.302585093,-0.192955066,-0.12818707,-0.153212853,-56.91828931,3.716401226,5.147887324
44,2,0.564315271,-1.11875951,3.144152279,2.995732274,-0.13390544,-0.173702083,-0.092847669,-68.28132409,3.722985194,3.903017241
45,2,0.544412939,-0.824330828,3.81220267,2.079441542,-0.09744236,-0.091034569,-0.052558833,-68.11249089,3.929169635,4.157458564
46,3,0.428289377,-0.516529976,3.530030254,2.079441542,-0.146604293,-0.060522753,-0.060522753,-63.60559084,3.140062211,4.424908425
47,2,0.680928922,-1.044832192,4.063572904,2.397895273,-0.131310983,-0.118585412,-0.088388348,-65.68234061,3.475346814,4.1328125
